name	has_participant_tsv	has_participant_json	participant_columns	has_phenotype_dir	has_mri	nb_subjects	raw	fmriprep	freesurfer	mriqc
ds000001	True	False	['participant_id', 'sex', 'age']	False	True	16	https://github.com/OpenNeuroDatasets/ds000001	n/a	n/a	n/a
ds000002	True	False	['participant_id', 'sex', 'age']	False	True	17	https://github.com/OpenNeuroDatasets/ds000002	n/a	n/a	https://github.com/OpenNeuroDatasets/ds000002/tree/main/derivatives/mriqc
ds000003	True	False	['participant_id', 'sex', 'age']	False	True	13	https://github.com/OpenNeuroDatasets/ds000003	n/a	n/a	https://github.com/OpenNeuroDatasets/ds000003/tree/main/derivatives/mriqc
ds000005	True	False	['participant_id', 'sex', 'age']	False	True	16	https://github.com/OpenNeuroDatasets/ds000005	n/a	n/a	n/a
ds000006	True	False	['participant_id', 'sex', 'age']	False	True	14	https://github.com/OpenNeuroDatasets/ds000006	n/a	n/a	n/a
ds000007	True	False	['participant_id', 'gender', 'age']	False	True	20	https://github.com/OpenNeuroDatasets/ds000007	n/a	n/a	https://github.com/OpenNeuroDatasets/ds000007/tree/main/derivatives/mriqc
ds000008	True	False	['participant_id', 'sex', 'age']	False	True	14	https://github.com/OpenNeuroDatasets/ds000008	n/a	n/a	n/a
ds000009	True	False	['participant_id', 'age', 'sex', 'm_SSRTquant', 'm_NumPumps_Avg', 'm_TotalAmt_Avg', 'm_NumExplAvg', 'm_logit_k', 'm_AN-SN', 'b_SSRTquant', 'b_NumPumps_Avg', 'b_TotalAmt_Avg', 'b_NumExplAvg', 'b_k', 'b_AN-SN', 'GABS_TOTAL', 'CARE_ENGAGING-DRUG', 'CARE_ENGAGING-AGGR/ILLEG', 'CARE_ENGAGING-SEX', 'CARE_ENGAGING-DRINKING', 'CARE_ENGAGING-SPORTS', 'CARE_ENGAGING-TOTAL', 'CARE_NEGCONS-DRUG', 'CARE_NEGCONS-AGGR/ILLEG', 'CARE_NEGCONS-SEX', 'CARE_NEGCONS-DRINKING', 'CARE_NEGCONS-SPORTS', 'CARE_NEGCONS-TOTAL', 'CARE_POSCONS-DRUG', 'CARE_POSCONS-AGGR/ILLEG', 'CARE_POSCONS-SEX', 'CARE_POSCONS-DRINKING', 'CARE_POSCONS-SPORTS', 'CARE_POSCONS-TOTAL', 'NEED', 'FOR', 'COG_TOTAL', 'COG', 'REFLECTION_NUM', 'CORR', 'COG.1', 'REFLECTION_CONFIDENCE', 'COG.2', 'REFLECTION_NUM.1', 'SEEN', 'SENS', 'SEEK_BOREDOM', 'SENS.1', 'SEEK_DISINHIB', 'SENS.2', 'SEEK_EXP', 'SEEK', 'SENS.3', 'SEEK_THRILL', 'SEEK.1', 'SENS.4', 'SEEK_TOTAL', 'BIS_ATTN', 'BIS_MOTOR', 'BIS_NP', 'BIS_TOTAL', 'BIS/BAS_BAS-REWRESP', 'BIS/BAS_BAS-FUNSEEK', 'BIS/BAS_BAS-DRIVE', 'BIS/BAS_BAS', 'TOTAL', 'BIS/BAS_BIS', 'DOSPERT_RT-ETH', 'DOSPERT_RT-FIN', 'DOSPERT_RT-HLTH/SAF', 'DOSPERT_RT-REC', 'DOSPERT_RT-SOC', 'DOSPERT_RT-TOTAL', 'DOSPERT_RP-ETH', 'DOSPERT_RP-FIN', 'DOSPERT_RP-HLTH/SAF', 'DOSPERT_RP-REC', 'DOSPERT_RP-SOC', 'DOSPERT_RP-TOTAL', 'DOSPERT_EB-ETH', 'DOSPERT_EB-FIN', 'DOSPERT_EB-HLTH/SAF', 'DOSPERT_EB-REC', 'DOSPERT_EB-SOC', 'DOSPERT_EB-TOTAL', 'PANAS_(Post-Pre)-Interested', 'PANAS_(Post-Pre)-Distressed', 'PANAS_(Post-Pre)-Excited', 'PANAS_(Post-Pre)-Upset', 'PANAS_(Post-Pre)-Strong']	False	True	24	https://github.com/OpenNeuroDatasets/ds000009	n/a	n/a	https://github.com/OpenNeuroDatasets/ds000009/tree/main/derivatives/mriqc
ds000011	True	False	['participant_id', 'sex', 'age']	False	True	14	https://github.com/OpenNeuroDatasets/ds000011	n/a	n/a	n/a
ds000017	True	False	['participant_id', 'sex', 'age']	False	True	8	https://github.com/OpenNeuroDatasets/ds000017	n/a	n/a	n/a
ds000030	True	False	['participant_id', 'diagnosis', 'age', 'gender', 'bart', 'bht', 'dwi', 'pamenc', 'pamret', 'rest', 'scap', 'stopsignal', 'T1w', 'taskswitch', 'ScannerSerialNumber', 'ghost_NoGhost']	True	True	272	https://github.com/OpenNeuroDatasets/ds000030	n/a	n/a	n/a
